   x_i   Mx_i   My_i   Mz_i   Sy_i   Sz_i
2.38 -1173.33611 15016.49539 -16780.19951 94063.88707 16797.21420 
2.41 -1170.60017 13248.33497 -14807.12813 94176.70936 16852.24131 
2.44 -1167.86423 11478.64974 -12830.93045 94289.53165 16907.26842 
2.47 -1165.12829 9707.43971 -10851.60646 94402.35394 16962.29553 
2.49 -1162.39235 7934.70489 -8869.15617 94515.17623 17017.32264 
2.52 -1159.65641 6160.44526 -6883.57957 94627.99852 17072.34974 
2.55 -1156.92047 4384.66082 -4894.87667 94740.82082 17127.37685 
2.58 -1154.18452 2607.35159 -2903.04746 94853.64311 17182.40396 
2.60 -1151.44858 828.51756 -908.09194 94966.46540 17237.43107 
2.63 -13.67970 -19.06001 39.07882 -564.11146 -275.13554 
2.66 -10.94376 -12.19841 25.01045 -451.28916 -220.10843 
2.69 -8.20782 -6.86161 14.06838 -338.46687 -165.08132 
2.72 -5.47188 -3.04960 6.25261 -225.64458 -110.05422 
2.74 -2.73594 -0.76240 1.56315 -112.82229 -55.02711 
2.77 -0.00000 -0.00000 0.00000 0.00000 0.00000 
